MNIST
QA-Training
ACC
	ori	brightness	canny_edges	dotted_line	fog	glass_blur	identity	impulse_noise	motion_blur	rotate	scale	shear	shot_noise	spatter	stripe	translate	zigzag
ResNet20-16-tflite	-0.12	-0.04	-0.12	-0.23	-0.33	-0.12	0.06	-0.24	0.21	0.04	0.01	-0.12	-0.44	0.05	-0.13	0.01	-0.11	-0.01	0.17	-0.43
ResNet20-8-coreml	-0.13	0.06	0	-0.17	-0.21	-0.08	0.06	-0.14	-0.02	0.17	-0.08	-0.01	-0.05	-0.15	0.09	0.08	0.06	0.28	0.13	-0.38
ResNet20-16-coreml	-0.05	0.02	-0.03	-0.07	0.01	0.04	-0.03	-0.05	-0.04	-0.09	0.02	0.01	0.03	0.01	0.04	-0.05	0.02	0.04	-0.05	-0.01

Disagreement
	ori	brightness	contrast	defocus_blur	elastic_transform	fog	frost	gaussian_blur	gaussian_noise	glass_blur	impulse_noise	jpeg_compression	motion_blur	pixelate	saturate	shot_noise	snow	spatter	speckle_noise	zoom_blur
NiN-ori	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NiN-8-tflite	452	41	60	67	112	60	80	71	98	188	108	84	106	70	67	701	629	572	729	963
NiN-16-tflite	33	26	29	23	50	34	38	29	60	120	52	46	53	36	30	46	41	34	54	71
NiN-8-coreml	28	30	49	31	42	34	47	30	50	120	57	51	49	40	38	49	45	37	36	69
NiN-16-coreml	6	3	2	2	6	4	2	5	13	14	10	4	11	4	2	8	5	2	5	10

ResNet20-ori	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ResNet20-8-tflite	463	189	258	227	415	257	280	222	360	532	321	329	450	253	307	322	305	249	330	477
ResNet20-16-tflite	48	31	58	51	93	54	63	58	92	120	74	70	86	55	81	76	86	59	73	107
ResNet20-8-coreml	84	71	114	113	192	114	114	114	162	225	154	133	179	117	117	126	136	96	128	222
ResNet20-16-coreml	10	5	7	12	13	6	7	11	14	34	11	8	11	14	7	11	8	15	16	16

WILDS
QA-Training
ACC
	ori	ood
DenseNet-ori	76.91	72.62
DenseNet-8-tflite	65.07	65.65
DenseNet-16-tflite	76.88	72.62
DenseNet-8-coreml	76.24	72.55
DenseNet-16-coreml	76.92	72.61

ResNet50-ori	75.8	67.55
ResNet50-8-tflite	75.69	66.73
ResNet50-16-tflite	75.75	67.5
ResNet50-8-coreml	75.57	67.4
ResNet50-16-coreml	75.66	67.47

QA-Training
ACC(Diff)
	ori	ood
DenseNet-ori	-	-
DenseNet-8-tflite	-11.84	-6.97
DenseNet-16-tflite	-0.03	0
DenseNet-8-coreml	-0.67	-0.07
DenseNet-16-coreml	0.01	-0.01

ResNet50-ori	-	-
ResNet50-8-tflite	-0.11	-0.82
ResNet50-16-tflite	-0.05	-0.05
ResNet50-8-coreml	-0.23	-0.15
ResNet50-16-coreml	-0.14	-0.08

Disagreement
	ori	ood
DenseNet-ori	-	-
DenseNet-8-tflite	27.36080451	28.46860321
DenseNet-16-tflite	0.9811135639	1.388142366
DenseNet-8-coreml	5.420652441	7.611413615
DenseNet-16-coreml	0.1716948737	0.2313570611

ResNet50-ori	-	-
ResNet50-8-tflite	4.365955359	5.620340726
ResNet50-16-tflite	0.5396124601	0.9978733846
ResNet50-8-coreml	1.6311013	2.023790049
ResNet50-16-coreml	1.09148884	1.184828585


ADV-Training
ACC
	ori	ood
DenseNet-ori	74.38	62.11
DenseNet-8-tflite	46.23	36.78
DenseNet-16-tflite	74.57	62.23
DenseNet-8-coreml	74.17	62.22
DenseNet-16-coreml	74.34	62.09

ResNet50-ori	64.39	54.96
ResNet50-8-tflite	64.72	55.1
ResNet50-16-tflite	64.53	54.9
ResNet50-8-coreml	64.37	54.91
ResNet50-16-coreml	64.41	54.91

ADV-Training
ACC(Diff)

DenseNet-ori	-	-
DenseNet-8-tflite	-28.15	-25.33
DenseNet-16-tflite	0.19	0.12
DenseNet-8-coreml	-0.21	0.11
DenseNet-16-coreml	-0.04	-0.02

ResNet50-ori	-	-
ResNet50-8-tflite	0.33	0.14
ResNet50-16-tflite	0.14	-0.06
ResNet50-8-coreml	-0.02	-0.05
ResNet50-16-coreml	0.02	-0.05

Disagreement
	ori	ood
DenseNet-ori	-	-
DenseNet-8-tflite	44.6038754	55.94166998
DenseNet-16-tflite	0.9933774834	1.390479306
DenseNet-8-coreml	1.066961001	0.8366245238
DenseNet-16-coreml	0.2575423105	0.3178238415

ResNet50-ori	-	-
ResNet50-8-tflite	1.864115771	2.708513472
ResNet50-16-tflite	0.4905567819	0.8062443037
ResNet50-8-coreml	0.7113073338	0.8857002641
ResNet50-16-coreml	0.1471670346	0.3505410016


MixUp-Training
ACC
	ori	ood
DenseNet-ori	73.6	72.05
DenseNet-8-tflite	67.89	64.8
DenseNet-16-tflite	73.76	72.33
DenseNet-8-coreml	61.31	67.24
DenseNet-16-coreml	73.71	72.12

ResNet50-ori	73.45	72.41
ResNet50-8-tflite	73.14	72.15
ResNet50-16-tflite	73.41	72.31
ResNet50-8-coreml	73.08	71.55
ResNet50-16-coreml	73.38	72.37

MixUp-Training
ACC
	ori	ood
DenseNet-ori	-	-
DenseNet-8-tflite	-5.71	-7.25
DenseNet-16-tflite	0.16	0.28
DenseNet-8-coreml	-12.29	-4.81
DenseNet-16-coreml	0.11	0.07

ResNet50-ori	-	-
ResNet50-8-tflite	-0.31	-0.26
ResNet50-16-tflite	-0.04	-0.1
ResNet50-8-coreml	-0.37	-0.86
ResNet50-16-coreml	-0.07	-0.04

Disagreement
	ori	ood
DenseNet-ori	-	-
DenseNet-8-tflite	22.59013981	23.50026875
DenseNet-16-tflite	2.342408634	3.633941717
DenseNet-8-coreml	32.26637233	28.96169755
DenseNet-16-coreml	0.3188619083	0.4533663621

ResNet50-ori	-	-
ResNet50-8-tflite	3.703703704	5.127246384
ResNet50-16-tflite	2.195241599	2.547264612
ResNet50-8-coreml	2.366936473	2.946881354
ResNet50-16-coreml	0.3311258278	0.3435301816


IMDB
ADV-Training
ACC
	ori	cr	yelp
(can not support tflite-8bit)
LSTM-ori	79.94	63.6	75.08
LSTM-8-tflite	-	-	-
LSTM-16-tflite	79.96	63.6	75.02
LSTM-8-coreml	79.96	63.58	75.14
LSTM-16-coreml	79.94	63.6	75.06

GRU-ori	80.76	63.32	76.4
GRU-8-tflite	-	-	-
GRU-16-tflite	80.74	63.3	76.36
GRU-8-coreml	80.74	63.36	76.42
GRU-16-coreml	80.76	63.32	76.4

ADV-Training
ACC(Diff)
	ori	cr	yelp
(can not support tflite-8bit)
LSTM-ori	-	-	-
LSTM-8-tflite	-	-	-
LSTM-16-tflite	0.02	0	-0.06
LSTM-8-coreml	0.02	-0.02	0.06
LSTM-16-coreml	0	0	-0.02

GRU-ori	-	-	-
GRU-8-tflite	-	-	-
GRU-16-tflite	-0.02	-0.02	-0.04
GRU-8-coreml	-0.02	0.04	0.02
GRU-16-coreml	0	0	0

Disagreement
	ori	cr	yelp
(can not support tflite-8bit)
LSTM-ori	-	-	-
LSTM-8-tflite	-	-	-
LSTM-16-tflite	0.26	0.12	0.14
LSTM-8-coreml	0.1	0.06	0.1
LSTM-16-coreml	0	0	0.02

GRU-ori	-	-	-
GRU-8-tflite	-	-	-
GRU-16-tflite	0.02	0.1	0.04
GRU-8-coreml	0.1	0.04	0.14
GRU-16-coreml	0	0	0


MixUp-Training
ACC
	ori	cr	yelp
(can not support tflite-8bit)
LSTM-ori	72.66	61.06	66.62
LSTM-8-tflite	-	-	-
LSTM-16-tflite	72.54	61.06	66.66
LSTM-8-coreml	72.66	61.06	66.7
LSTM-16-coreml	72.66	61.06	66.62

GRU-ori	75.1	56.28	73.18
GRU-8-tflite	-	-	-
GRU-16-tflite	75.14	56.28	73.2
GRU-8-coreml	75.14	56.28	73.24
GRU-16-coreml	75.1	56.28	73.18

MixUp-Training
ACC(Diff)
	ori	cr	yelp
(can not support tflite-8bit)
LSTM-ori	-	-	-
LSTM-8-tflite	-	-	-
LSTM-16-tflite	-0.12	0	0.04
LSTM-8-coreml	0	0	0.08
LSTM-16-coreml	0	0	0

GRU-ori	-	-	-
GRU-8-tflite	-	-	-
GRU-16-tflite	0.04	0	0.02
GRU-8-coreml	0.04	0	0.06
GRU-16-coreml	0	0	0

Disagreement
	ori	cr	yelp
(can not support tflite-8bit)
LSTM-ori	-	-	-
LSTM-8-tflite	-	-	-
LSTM-16-tflite	0.2	0.04	0.16
LSTM-8-coreml	0.08	0.04	0.12
LSTM-16-coreml	0	0	0

GRU-ori	-	-	-
GRU-8-tflite	-	-	-
GRU-16-tflite	0.08	0.12	0.1
GRU-8-coreml	0.12	0.16	0.06
GRU-16-coreml	0	0	0
